SID,DATE,DESCRIPTION,DETAILS
SC01894403,02/10/2015,"USE,POSS NARC,MARIJ,UNAUTH DRUG,INHALANT","LOSS OF CANTEEN PRIVILEGES FOR 100 DAYS,DISC. DETENTION FOR 10 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 100 DAYS,LOSS OF TELEVISION PRIVILEGES FOR 365 DAYS,LOSS OF VISITATION PRIVILEGES FOR 100 DAYS"
SC01894403,09/15/2014,THREATENING TO INFLICT HARM ON EMPLOYEE,"LOSS OF CANTEEN PRIVILEGES FOR 112 DAYS,DISC. DETENTION FOR 90 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 112 DAYS,LOSS OF TELEVISION PRIVILEGES FOR 114 DAYS,LOSS OF VISITATION PRIVILEGES FOR 112 DAYS"
SC01894403,08/13/2014,REFUSING OR FAILING OBEY ORDERS,"LOSS OF CANTEEN PRIVILEGES FOR 30 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 30 DAYS,LOSS OF VISITATION PRIVILEGES FOR 30 DAYS"
SC01894403,09/15/2013,EVADING A SECURITY DEVICE,
SC02317739,NO DISCIPLINARIES DURING CURRENT INCARCERATION
SC02063569,NO DISCIPLINARIES DURING CURRENT INCARCERATION
SC01065588,NO DISCIPLINARIES DURING CURRENT INCARCERATION
SC02160992,NO DISCIPLINARIES DURING CURRENT INCARCERATION
SC00829309,NO DISCIPLINARIES DURING CURRENT INCARCERATION
SC01873519,NO DISCIPLINARIES DURING CURRENT INCARCERATION
SC00041091,NO DISCIPLINARIES DURING CURRENT INCARCERATION
SC01187144,06/10/2020,POSS. OR/ATTEMPT TO POSSESS CELL PHONE,"LOSS OF CANTEEN PRIVILEGES FOR 160 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 160 DAYS,LOSS OF TELEVISION PRIVILEGES FOR 360 DAYS,LOSS OF VISITATION PRIVILEGES FOR 160 DAYS"
SC01187144,10/17/2019,POSS. OR/ATTEMPT TO POSSESS CELL PHONE,"LOSS OF CANTEEN PRIVILEGES FOR 140 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 140 DAYS,LOSS OF VISITATION PRIVILEGES FOR 140 DAYS"
SC01187144,02/08/2019,POSS. OR/ATTEMPT TO POSSESS CELL PHONE,"LOSS OF CANTEEN PRIVILEGES FOR 120 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 120 DAYS,LOSS OF VISITATION PRIVILEGES FOR 120 DAYS"
SC01420403,NO DISCIPLINARIES DURING CURRENT INCARCERATION
SC02015571,02/16/2023,"USE,POSS NARC,MARIJ,UNAUTH DRUG,INHALANT","LOSS OF TELEPHONE PRIVILEGES FOR 140 DAYS,LOSS OF VISITATION PRIVILEGES FOR 140 DAYS"
SC02015571,03/28/2022,POSS. OR/ATTEMPT TO POSSESS CELL PHONE,"LOSS OF CANTEEN PRIVILEGES FOR 120 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 120 DAYS,LOSS OF VISITATION PRIVILEGES FOR 120 DAYS"
SC02015571,03/28/2022,CREAT/ASSIST WITH SOCIAL NETWORKING SITE,"LOSS OF CANTEEN PRIVILEGES FOR 120 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 120 DAYS,LOSS OF VISITATION PRIVILEGES FOR 120 DAYS"
SC02015571,03/28/2022,POSSESSION OF A NEGOTIABLE INSTRUMENT,"LOSS OF CANTEEN PRIVILEGES FOR 120 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 120 DAYS,LOSS OF VISITATION PRIVILEGES FOR 120 DAYS"
SC02015571,02/03/2016,"USE,POSS NARC,MARIJ,UNAUTH DRUG,INHALANT","LOSS OF CANTEEN PRIVILEGES FOR 110 DAYS,DISC. DETENTION FOR 20 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 110 DAYS,LOSS OF TELEVISION PRIVILEGES FOR 360 DAYS,LOSS OF VISITATION PRIVILEGES FOR 110 DAYS"
SC02015571,02/03/2016,POSSESSION OF CONTRABAND,"LOSS OF CANTEEN PRIVILEGES FOR 40 DAYS,DISC. DETENTION FOR 10 DAYS"
SC02015571,02/03/2016,POSS. OR/ATTEMPT TO POSSESS CELL PHONE,"LOSS OF CANTEEN PRIVILEGES FOR 110 DAYS,DISC. DETENTION FOR 20 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 110 DAYS,LOSS OF TELEVISION PRIVILEGES FOR 360 DAYS,LOSS OF VISITATION PRIVILEGES FOR 110 DAYS"
SC02015571,09/08/2013,POSS. OR/ATTEMPT TO POSSESS CELL PHONE,"LOSS OF CANTEEN PRIVILEGES FOR 210 DAYS,DISC. DETENTION FOR 360 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 210 DAYS,LOSS OF VISITATION PRIVILEGES FOR 110 DAYS"
SC02015571,04/04/2013,POSS. OR/ATTEMPT TO POSSESS CELL PHONE,"LOSS OF CANTEEN PRIVILEGES FOR 450 DAYS,DISC. DETENTION FOR 90 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 450 DAYS,LOSS OF TELEVISION PRIVILEGES FOR 660 DAYS,LOSS OF VISITATION PRIVILEGES FOR 450 DAYS"
SC00876258,02/14/2019,"USE,POSS NARC,MARIJ,UNAUTH DRUG,INHALANT","LOSS OF CANTEEN PRIVILEGES FOR 150 DAYS,DISC. DETENTION FOR 60 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 150 DAYS,LOSS OF TELEVISION PRIVILEGES FOR 360 DAYS,LOSS OF VISITATION PRIVILEGES FOR 150 DAYS"
SC00876258,08/21/2014,"USE,POSS NARC,MARIJ,UNAUTH DRUG,INHALANT",
SC00876258,05/05/2014,"USE,POSS NARC,MARIJ,UNAUTH DRUG,INHALANT",
SC00876258,09/01/2013,THREATENING TO INFLICT HARM ON EMPLOYEE,
SC00876258,08/30/2013,"USE,POSS NARC,MARIJ,UNAUTH DRUG,INHALANT",
SC00876258,08/13/2013,DISORDERLY CONDUCT,
SC00876258,12/04/2012,"USE,POSS NARC,MARIJ,UNAUTH DRUG,INHALANT",
SC00876258,09/18/2012,POSS. OR/ATTEMPT TO POSSESS CELL PHONE,DISC. DETENTION FOR 68 DAYS
SC00876258,07/17/2012,"USE,POSS NARC,MARIJ,UNAUTH DRUG,INHALANT","DISC. DETENTION FOR 360 DAYS,LOSS OF TELEVISION PRIVILEGES FOR 930 DAYS"
SC00876258,02/16/2012,"USE,POSS NARC,MARIJ,UNAUTH DRUG,INHALANT","DISC. DETENTION FOR 180 DAYS,LOSS OF PROPERTY PRIVILEGES FOR 540 DAYS"
SC00876258,09/06/2011,"USE,POSS NARC,MARIJ,UNAUTH DRUG,INHALANT","DISC. DETENTION FOR 180 DAYS,DISCIPLINARY SANCTIONS,DATE,DESCRIPTION"
SC00876258,01/05/2011,POSS. OR/ATTEMPT TO POSSESS CELL PHONE,"LOSS OF CANTEEN PRIVILEGES FOR 428 DAYS,DISC. DETENTION FOR 360 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 428 DAYS,LOSS OF VISITATION PRIVILEGES FOR 428 DAYS"
SC00876258,10/25/2010,POSS. OR/ATTEMPT TO POSSESS CELL PHONE,"LOSS OF CANTEEN PRIVILEGES FOR 540 DAYS,DISC. DETENTION FOR 180 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 540 DAYS,LOSS OF VISITATION PRIVILEGES FOR 540 DAYS"
SC00876258,07/09/2010,POSS. OR/ATTEMPT TO POSSESS CELL PHONE,"LOSS OF CANTEEN PRIVILEGES FOR 697 DAYS,DISC. DETENTION FOR 337 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 697 DAYS,LOSS OF VISITATION PRIVILEGES FOR 697 DAYS"
SC02000207,NO DISCIPLINARIES DURING CURRENT INCARCERATION
SC01051708,NO DISCIPLINARIES DURING CURRENT INCARCERATION
SC02075444,05/27/2022,ASSAULT/BATTERY OF INMATE TO KILL/INJURE,"LOSS OF CANTEEN PRIVILEGES FOR 122 DAYS,DISC. DETENTION FOR 32 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 122 DAYS,LOSS OF TELEVISION PRIVILEGES FOR 360 DAYS,LOSS OF VISITATION PRIVILEGES FOR 122 DAYS"
SC02075444,05/27/2022,POSSESSION OF A WEAPON,"LOSS OF CANTEEN PRIVILEGES FOR 122 DAYS,DISC. DETENTION FOR 32 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 122 DAYS,LOSS OF TELEVISION PRIVILEGES FOR 360 DAYS,LOSS OF VISITATION PRIVILEGES FOR 122 DAYS"
SC02075444,01/27/2020,"USE,POSS NARC,MARIJ,UNAUTH DRUG,INHALANT","LOSS OF CANTEEN PRIVILEGES FOR 150 DAYS,DISC. DETENTION FOR 60 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 150 DAYS,LOSS OF TELEVISION PRIVILEGES FOR 360 DAYS,LOSS OF VISITATION PRIVILEGES FOR 150 DAYS"
SC02075444,01/27/2020,POSSESSION OF A WEAPON,"LOSS OF CANTEEN PRIVILEGES FOR 120 DAYS,DISC. DETENTION FOR 30 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 120 DAYS,LOSS OF TELEVISION PRIVILEGES FOR 360 DAYS,LOSS OF VISITATION PRIVILEGES FOR 120 DAYS"
SC02075444,01/27/2020,POSS. OR/ATTEMPT TO POSSESS CELL PHONE,"LOSS OF CANTEEN PRIVILEGES FOR 150 DAYS,DISC. DETENTION FOR 60 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 150 DAYS,LOSS OF TELEVISION PRIVILEGES FOR 360 DAYS,LOSS OF VISITATION PRIVILEGES FOR 150 DAYS"
SC01883632,10/12/2022,STRIKE I/M W/WO WEAPON,"LOSS OF CANTEEN PRIVILEGES FOR 75 DAYS,DISC. DETENTION FOR 30 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 30 DAYS,LOSS OF TELEVISION PRIVILEGES FOR 360 DAYS,LOSS OF VISITATION PRIVILEGES FOR 30 DAYS"
SC01883632,07/06/2022,EXHIBITIONISM AND PUBLIC MASTURBATION,"LOSS OF CANTEEN PRIVILEGES FOR 45 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 45 DAYS,LOSS OF VISITATION PRIVILEGES FOR 45 DAYS"
SC01883632,06/08/2022,POSSESSION OF A WEAPON,"LOSS OF CANTEEN PRIVILEGES FOR 45 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 45 DAYS,LOSS OF VISITATION PRIVILEGES FOR 45 DAYS"
SC01883632,06/08/2022,ATTEMPTED ESCAPE/BREACH RESTRICTED AREA,"LOSS OF CANTEEN PRIVILEGES FOR 60 DAYS,DISC. DETENTION FOR 6 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 30 DAYS,LOSS OF TELEVISION PRIVILEGES FOR 360 DAYS,LOSS OF VISITATION PRIVILEGES FOR 60 DAYS"
SC01883632,12/30/2021,EXHIBITIONISM AND PUBLIC MASTURBATION,"LOSS OF CANTEEN PRIVILEGES FOR 140 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 140 DAYS,LOSS OF VISITATION PRIVILEGES FOR 140 DAYS"
SC01883632,08/08/2021,EXHIBITIONISM AND PUBLIC MASTURBATION,"LOSS OF CANTEEN PRIVILEGES FOR 160 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 160 DAYS,LOSS OF VISITATION PRIVILEGES FOR 160 DAYS"
SC01883632,05/25/2021,INCITING/CREATING A DISTURBANCE,"LOSS OF CANTEEN PRIVILEGES FOR 45 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 45 DAYS,LOSS OF TELEVISION PRIVILEGES FOR 360 DAYS,LOSS OF VISITATION PRIVILEGES FOR 45 DAYS"
SC01883632,05/01/2021,EXHIBITIONISM AND PUBLIC MASTURBATION,"LOSS OF CANTEEN PRIVILEGES FOR 45 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 45 DAYS,LOSS OF TELEVISION PRIVILEGES FOR 360 DAYS,LOSS OF VISITATION PRIVILEGES FOR 45 DAYS"
SC01883632,02/23/2021,INCITING/CREATING A DISTURBANCE,"LOSS OF CANTEEN PRIVILEGES FOR 45 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 45 DAYS,LOSS OF TELEVISION PRIVILEGES FOR 360 DAYS,LOSS OF VISITATION PRIVILEGES FOR 45 DAYS"
SC01883632,02/22/2021,POSS. OR/ATTEMPT TO POSSESS CELL PHONE,"LOSS OF CANTEEN PRIVILEGES FOR 110 DAYS,DISC. DETENTION FOR 20 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 110 DAYS,LOSS OF TELEVISION PRIVILEGES FOR 360 DAYS,LOSS OF VISITATION PRIVILEGES FOR 110 DAYS"
SC01883632,08/04/2020,"USE,POSS NARC,MARIJ,UNAUTH DRUG,INHALANT","LOSS OF CANTEEN PRIVILEGES FOR 90 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 90 DAYS,LOSS OF TELEVISION PRIVILEGES FOR 360 DAYS,LOSS OF VISITATION PRIVILEGES FOR 90 DAYS"
SC01883632,08/04/2020,POSS. OR/ATTEMPT TO POSSESS CELL PHONE,"LOSS OF CANTEEN PRIVILEGES FOR 90 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 90 DAYS,LOSS OF TELEVISION PRIVILEGES FOR 360 DAYS,LOSS OF VISITATION PRIVILEGES FOR 90 DAYS"
SC01883632,08/04/2020,POSSESSION OF CONTRABAND,"LOSS OF CANTEEN PRIVILEGES FOR 30 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 30 DAYS"
SC01883632,04/22/2020,INCITING/CREATING A DISTURBANCE,"LOSS OF CANTEEN PRIVILEGES FOR 45 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 45 DAYS,LOSS OF TELEVISION PRIVILEGES FOR 360 DAYS,LOSS OF VISITATION PRIVILEGES FOR 45 DAYS"
SC01883632,10/16/2019,POSS. OR/ATTEMPT TO POSSESS CELL PHONE,"LOSS OF CANTEEN PRIVILEGES FOR 110 DAYS,DISC. DETENTION FOR 20 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 110 DAYS,LOSS OF TELEVISION PRIVILEGES FOR 360 DAYS,LOSS OF VISITATION PRIVILEGES FOR 110 DAYS"
SC01883632,03/08/2018,"USE,POSS NARC,MARIJ,UNAUTH DRUG,INHALANT","LOSS OF CANTEEN PRIVILEGES FOR 90 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 90 DAYS,LOSS OF VISITATION PRIVILEGES FOR 90 DAYS"
SC01883632,11/15/2015,EXHIBITIONISM AND PUBLIC MASTURBATION,"LOSS OF CANTEEN PRIVILEGES FOR 70 DAYS,DISC. DETENTION FOR 25 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 70 DAYS,LOSS OF VISITATION PRIVILEGES FOR 70 DAYS"
SC00216042,08/17/2022,"USE,POSS NARC,MARIJ,UNAUTH DRUG,INHALANT","LOSS OF CANTEEN PRIVILEGES FOR 90 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 90 DAYS,LOSS OF TELEVISION PRIVILEGES FOR 360 DAYS,LOSS OF VISITATION PRIVILEGES FOR 90 DAYS"
SC00442073,05/24/2022,OUT OF PLACE,LOSS OF CANTEEN PRIVILEGES FOR 30 DAYS
SC00442073,04/21/2020,STRIKING AN EMPLOYEE WITH/WITHOUT WEAPON,"LOSS OF GOOD TIME: 6 DAYS,LOSS OF CANTEEN PRIVILEGES FOR 172 DAYS,DISC. DETENTION FOR 22 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 172 DAYS,LOSS OF VISITATION PRIVILEGES FOR 172 DAYS"
SC00442073,08/11/2016,I/M UNDER INFLUENCE/POSS ALCOHOL OR BUCK,"LOSS OF CANTEEN PRIVILEGES FOR 30 DAYS,DISC. DETENTION FOR 10 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 30 DAYS"
SC00227661,NO DISCIPLINARIES DURING CURRENT INCARCERATION
SC01810145,02/14/2023,POSS. OR/ATTEMPT TO POSSESS CELL PHONE,"LOSS OF GOOD TIME: 30 DAYS,LOSS OF CANTEEN PRIVILEGES FOR 90 DAYS,LOSS OF TABLET ENTERTAINMENT PRIVILEGES FOR 90 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 90 DAYS,LOSS OF VISITATION PRIVILEGES FOR 90 DAYS"
SC01810145,02/14/2023,ABUSE OF PRIVILEGES,"LOSS OF CANTEEN PRIVILEGES FOR 30 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 30 DAYS"
SC01810145,02/14/2023,"USE,POSS NARC,MARIJ,UNAUTH DRUG,INHALANT","LOSS OF GOOD TIME: 45 DAYS,LOSS OF CANTEEN PRIVILEGES FOR 134 DAYS,DISC. DETENTION FOR 14 DAYS,LOSS OF TABLET ENTERTAINMENT PRIVILEGES FOR 90 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 134 DAYS,LOSS OF VISITATION PRIVILEGES FOR 134 DAYS"
SC01810145,04/04/2017,STRIKING AN EMPLOYEE WITH/WITHOUT WEAPON,"LOSS OF CANTEEN PRIVILEGES FOR 60 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 60 DAYS,LOSS OF VISITATION PRIVILEGES FOR 60 DAYS"
SC01810145,11/03/2015,POSSESSION OF A WEAPON,"LOSS OF CANTEEN PRIVILEGES FOR 30 DAYS,DISC. DETENTION FOR 30 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 30 DAYS,LOSS OF VISITATION PRIVILEGES FOR 30 DAYS"
SC01810145,11/03/2015,REFUSING OR FAILING OBEY ORDERS,"LOSS OF CANTEEN PRIVILEGES FOR 30 DAYS,LOSS OF VISITATION PRIVILEGES FOR 30 DAYS"
SC01810145,01/12/2015,EXHIBITIONISM AND PUBLIC MASTURBATION,"LOSS OF CANTEEN PRIVILEGES FOR 15 DAYS,DISC. DETENTION FOR 15 DAYS,JUMPSUIT FOR 15 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 15 DAYS,LOSS OF VISITATION PRIVILEGES FOR 15 DAYS"
SC01810145,08/25/2011,STRIKE I/M W/WO WEAPON,"LOSS OF CANTEEN PRIVILEGES FOR 226 DAYS,DISC. DETENTION FOR 46 DAYS,LOSS OF PROPERTY PRIVILEGES FOR 226 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 226 DAYS,LOSS OF VISITATION PRIVILEGES FOR 226 DAYS"
SC01810145,01/20/2011,POS. AND/OR USE OF ANOTHER IM'S ID CARD,"LOSS OF CANTEEN PRIVILEGES FOR 240 DAYS,DISC. DETENTION FOR 60 DAYS,LOSS OF PROPERTY PRIVILEGES FOR 240 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 240 DAYS,LOSS OF VISITATION PRIVILEGES FOR 240 DAYS"
SC01517355,06/12/2021,EXHIBITIONISM AND PUBLIC MASTURBATION,"LOSS OF CANTEEN PRIVILEGES FOR 45 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 45 DAYS,LOSS OF TELEVISION PRIVILEGES FOR 360 DAYS,LOSS OF VISITATION PRIVILEGES FOR 45 DAYS"
SC01517355,12/20/2019,POSS. OR/ATTEMPT TO POSSESS CELL PHONE,"LOSS OF CANTEEN PRIVILEGES FOR 110 DAYS,DISC. DETENTION FOR 20 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 110 DAYS,LOSS OF TELEVISION PRIVILEGES FOR 360 DAYS,LOSS OF VISITATION PRIVILEGES FOR 110 DAYS"
SC01517355,11/08/2019,"USE,POSS NARC,MARIJ,UNAUTH DRUG,INHALANT","LOSS OF CANTEEN PRIVILEGES FOR 110 DAYS,DISC. DETENTION FOR 20 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 110 DAYS,LOSS OF TELEVISION PRIVILEGES FOR 360 DAYS,LOSS OF VISITATION PRIVILEGES FOR 110 DAYS"
SC01517355,09/19/2019,EXHIBITIONISM AND PUBLIC MASTURBATION,"LOSS OF CANTEEN PRIVILEGES FOR 225 DAYS,DISC. DETENTION FOR 45 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 225 DAYS,LOSS OF TELEVISION PRIVILEGES FOR 360 DAYS,LOSS OF VISITATION PRIVILEGES FOR 225 DAYS"
SC01517355,07/10/2019,EXHIBITIONISM AND PUBLIC MASTURBATION,"LOSS OF CANTEEN PRIVILEGES FOR 175 DAYS,DISC. DETENTION FOR 40 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 175 DAYS,LOSS OF TELEVISION PRIVILEGES FOR 360 DAYS,LOSS OF VISITATION PRIVILEGES FOR 175 DAYS"
SC01517355,06/27/2019,EXHIBITIONISM AND PUBLIC MASTURBATION,"LOSS OF CANTEEN PRIVILEGES FOR 95 DAYS,DISC. DETENTION FOR 20 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 95 DAYS,LOSS OF TELEVISION PRIVILEGES FOR 360 DAYS,LOSS OF VISITATION PRIVILEGES FOR 95 DAYS"
SC01517355,06/01/2019,EXHIBITIONISM AND PUBLIC MASTURBATION,"LOSS OF CANTEEN PRIVILEGES FOR 135 DAYS,DISC. DETENTION FOR 30 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 135 DAYS,LOSS OF TELEVISION PRIVILEGES FOR 360 DAYS,LOSS OF VISITATION PRIVILEGES FOR 135 DAYS"
SC01517355,05/17/2019,EXHIBITIONISM AND PUBLIC MASTURBATION,
SC01517355,05/12/2019,EXHIBITIONISM AND PUBLIC MASTURBATION,"LOSS OF CANTEEN PRIVILEGES FOR 95 DAYS,DISC. DETENTION FOR 20 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 95 DAYS,LOSS OF TELEVISION PRIVILEGES FOR 360 DAYS,LOSS OF VISITATION PRIVILEGES FOR 95 DAYS"
SC01517355,08/28/2018,EXHIBITIONISM AND PUBLIC MASTURBATION,"LOSS OF CANTEEN PRIVILEGES FOR 45 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 45 DAYS,LOSS OF VISITATION PRIVILEGES FOR 45 DAYS"
SC01517355,11/14/2017,POSS. OR/ATTEMPT TO POSSESS CELL PHONE,"LOSS OF CANTEEN PRIVILEGES FOR 90 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 90 DAYS"
SC00783331,01/12/2023,"USE,POSS NARC,MARIJ,UNAUTH DRUG,INHALANT","LOSS OF GOOD TIME: 20 DAYS,LOSS OF CANTEEN PRIVILEGES FOR 150 DAYS,DISC. DETENTION FOR 30 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 150 DAYS,LOSS OF VISITATION PRIVILEGES FOR 150 DAYS"
SC00783331,12/07/2022,"USE,POSS NARC,MARIJ,UNAUTH DRUG,INHALANT","LOSS OF GOOD TIME: 20 DAYS,LOSS OF CANTEEN PRIVILEGES FOR 120 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 120 DAYS,LOSS OF VISITATION PRIVILEGES FOR 120 DAYS"
SC00783331,12/24/2020,DISRESPECT,LOSS OF CANTEEN PRIVILEGES FOR 30 DAYS
SC00783331,11/19/2020,"USE,POSS NARC,MARIJ,UNAUTH DRUG,INHALANT","LOSS OF CANTEEN PRIVILEGES FOR 180 DAYS,LOSS OF VISITATION PRIVILEGES FOR 180 DAYS"
SC00783331,05/09/2020,"USE,POSS NARC,MARIJ,UNAUTH DRUG,INHALANT","LOSS OF CANTEEN PRIVILEGES FOR 90 DAYS,LOSS OF VISITATION PRIVILEGES FOR 90 DAYS"
SC01647694,05/13/2023,POSS. OR/ATTEMPT TO POSSESS CELL PHONE,"LOSS OF CANTEEN PRIVILEGES FOR 90 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 90 DAYS,LOSS OF VISITATION PRIVILEGES FOR 90 DAYS"
SC02347977,NO DISCIPLINARIES DURING CURRENT INCARCERATION
SC01503675,11/14/2022,POSSESSION OF A WEAPON,"LOSS OF GOOD TIME: 90 DAYS,LOSS OF CANTEEN PRIVILEGES FOR 180 DAYS,DISC. DETENTION FOR 30 DAYS,LOSS OF TABLET ENTERTAINMENT PRIVILEGES FOR 90 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 180 DAYS,LOSS OF VISITATION PRIVILEGES FOR 180 DAYS"
SC01503675,04/26/2017,"USE,POSS NARC,MARIJ,UNAUTH DRUG,INHALANT","LOSS OF CANTEEN PRIVILEGES FOR 120 DAYS,DISC. DETENTION FOR 30 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 120 DAYS,LOSS OF TELEVISION PRIVILEGES FOR 360 DAYS,LOSS OF VISITATION PRIVILEGES FOR 120 DAYS"
SC01503675,11/01/2016,POSS. OR/ATTEMPT TO POSSESS CELL PHONE,"LOSS OF CANTEEN PRIVILEGES FOR 30 DAYS,DISC. DETENTION FOR 15 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 30 DAYS,LOSS OF VISITATION PRIVILEGES FOR 30 DAYS"
SC01930332,NO DISCIPLINARIES DURING CURRENT INCARCERATION
SC00971571,11/14/2021,"USE,POSS NARC,MARIJ,UNAUTH DRUG,INHALANT","LOSS OF CANTEEN PRIVILEGES FOR 120 DAYS,LOSS OF VISITATION PRIVILEGES FOR 120 DAYS"
SC00685011,12/06/2022,POSS. OR/ATTEMPT TO POSSESS CELL PHONE,"LOSS OF GOOD TIME: 60 DAYS,LOSS OF CANTEEN PRIVILEGES FOR 111 DAYS,DISC. DETENTION FOR 51 DAYS,LOSS OF VISITATION PRIVILEGES FOR 111 DAYS"
SC01393331,NO DISCIPLINARIES DURING CURRENT INCARCERATION
SC01436375,03/01/2023,POSS. OR/ATTEMPT TO POSSESS CELL PHONE,"LOSS OF CANTEEN PRIVILEGES FOR 120 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 120 DAYS,LOSS OF VISITATION PRIVILEGES FOR 120 DAYS"
SC01436375,02/22/2023,THREATENING TO INFLICT HARM ON EMPLOYEE,"LOSS OF CANTEEN PRIVILEGES FOR 120 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 120 DAYS,LOSS OF VISITATION PRIVILEGES FOR 120 DAYS"
SC01436375,10/14/2022,POSS. OR/ATTEMPT TO POSSESS CELL PHONE,"LOSS OF CANTEEN PRIVILEGES FOR 68 DAYS,DISC. DETENTION FOR 22 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 68 DAYS,LOSS OF VISITATION PRIVILEGES FOR 68 DAYS"
SC01436375,02/26/2022,"DAMAGE,DESTROY,PROP.VALUE AT $100./MORE","LOSS OF CANTEEN PRIVILEGES FOR 90 DAYS,DISC. DETENTION FOR 30 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 90 DAYS,LOSS OF TELEVISION PRIVILEGES FOR 360 DAYS,LOSS OF VISITATION PRIVILEGES FOR 90 DAYS"
SC01436375,03/03/2021,POSSESSION OF A NEGOTIABLE INSTRUMENT,"LOSS OF CANTEEN PRIVILEGES FOR 45 DAYS,LOSS OF VISITATION PRIVILEGES FOR 45 DAYS"
SC01436375,03/03/2021,"USE,POSS NARC,MARIJ,UNAUTH DRUG,INHALANT","LOSS OF CANTEEN PRIVILEGES FOR 120 DAYS,DISC. DETENTION FOR 30 DAYS,LOSS OF VISITATION PRIVILEGES FOR 120 DAYS"
SC01436375,12/04/2020,"A & B OF AN EMP, ETC W/INT KILL/INJURE","LOSS OF CANTEEN PRIVILEGES FOR 210 DAYS,DISC. DETENTION FOR 60 DAYS,LOSS OF TELEPHONE PRIVILEGES FOR 210 DAYS,LOSS OF VISITATION PRIVILEGES FOR 210 DAYS"
